問題番号,proposed-cegar-ffi-cadical,proposed-cegar-ffi-2loop-cadical,proposed-cegar-ffi-lowest-asymmetry3-cadical,proposed-cegar-ffi-2opt3-cadical,proposed-cegar-ffi-2loop-lowest-asymmetry3-cadical,proposed-cegar-ffi-lowest-asymmetry3-2opt3-cadical,proposed-cegar-ffi-2loop-2opt3-cadical,proposed-cegar-ffi-2loop-lowest-asymmetry3-2opt3-cadical,VBS
1,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0
3,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01
4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
5,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.02,0.01
6,0.03,0.01,0.03,0.0,0.0,0.0,0.01,0.01,0.0
7,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.01
8,0.04,0.04,0.05,0.04,0.04,0.05,0.04,0.04,0.04
9,0.02,0.05,0.02,0.02,0.05,0.01,0.04,0.05,0.01
10,0.03,0.02,0.04,0.01,0.02,0.01,0.03,0.02,0.01
11,0.01,0.01,0.02,0.03,0.01,0.03,0.01,0.0,0.0
12,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.01
13,0.05,0.0,0.06,0.06,0.01,0.06,0.01,0.01,0.0
14,0.02,0.02,0.03,0.02,0.03,0.01,0.0,0.0,0.0
15,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01
16,0.02,0.05,0.01,0.01,0.05,0.02,0.05,0.05,0.01
17,0.02,0.02,0.02,0.01,0.03,0.02,0.03,0.03,0.01
18,0.02,0.0,0.02,0.04,0.02,0.03,0.02,0.01,0.0
19,0.07,0.07,0.07,0.1,0.06,0.09,0.06,0.06,0.06
20,0.02,0.01,0.02,0.02,0.01,0.03,0.0,0.01,0.0
21,0.02,0.03,0.01,0.02,0.03,0.02,0.03,0.03,0.01
22,0.05,0.02,0.06,0.05,0.02,0.05,0.02,0.02,0.02
23,0.02,0.04,0.04,0.04,0.04,0.05,0.02,0.02,0.02
24,0.05,0.01,0.04,0.06,0.01,0.06,0.0,0.01,0.0
25,0.03,0.07,0.02,0.03,0.07,0.03,0.07,0.07,0.02
26,0.04,0.01,0.04,0.04,0.02,0.04,0.02,0.02,0.01
27,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01
28,0.03,0.02,0.03,0.04,0.02,0.02,0.02,0.02,0.02
29,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06
30,0.05,0.01,0.06,0.07,0.01,0.07,0.01,0.01,0.01
