Graph,Total Variables,Total Clauses,Total Runtime (s),Total Solver Time (s),Final Solve Time (s),Status,Verified,Actions,Conflicts,Decisions,Propagations
graph48.edge,2090,11044,15.21,15.1615,0.0468706,SAT,Yes,62,516110,1640505,27962228
graph162.edge,824015,3296956,66.22,61.238,0.00630954,SAT,Yes,4,10852,396207,126319188
graph171.edge,3986,18294,1.74,1.67489,0.00247131,SAT,Yes,76,39076,471748,5565242
graph197.edge,4754,20930,1.38,1.30922,0.00193406,SAT,Yes,46,28540,387966,3479136
graph223.edge,6594,26498,62.64,62.5389,5.15502,SAT,Yes,22,369856,2121512,248006466
graph237.edge,5906,25758,1.68,1.58554,0.00298904,SAT,Yes,33,36678,431330,3731947
graph249.edge,6234,28996,8.75,8.64631,0.00655152,SAT,Yes,35,252605,1246954,19199716
graph252.edge,6290,27662,2.04,1.93453,0.00259742,SAT,Yes,65,42779,544514,5094173
graph254.edge,6330,29914,11.72,11.591,0.00493042,SAT,Yes,39,357289,1772698,25531953
graph255.edge,8382,34040,7.26,7.10839,0.00165834,SAT,Yes,87,86606,492512,23566087
graph424.edge,11992,56372,253.69,253.065,0.00769245,SAT,Yes,210,4824084,20405325,431863092
graph446.edge,12035,57556,280.40,279.808,0.0530463,SAT,Yes,130,5014958,21909867,509699602
graph470.edge,12400,108124,514.71,507.938,0.0204094,SAT,Yes,3421,5133931,28805152,571144702
graph491.edge,11378,49734,8.92,8.67202,0.0063514,SAT,Yes,35,129302,2189864,21549721
graph506.edge,11858,54080,18.86,18.5444,0.0071148,SAT,Yes,63,238187,4253301,52646283
graph522.edge,12242,54864,7.96,7.66955,0.00654743,SAT,Yes,43,106832,2210954,18939703
graph526.edge,12434,55360,17.92,17.5816,0.00621708,SAT,Yes,81,239054,4235291,50406776
graph529.edge,12530,56548,34.04,33.709,0.0121531,SAT,Yes,66,473794,6503075,88594011
