問題番号,adder,crt-420,existing-cegar-fix-2loop-cadical-sinz,asp,picat
1,0.1,0.08,0.02,0.01,0.17
2,0.27,0.06,0.01,0.02,0.11
3,0.21,0.13,0.02,0.01,2.79
4,0.05,0.03,0.3,0.38,TO
5,0.14,0.12,0,0.17,TO
6,0.17,0.08,0,0.07,72.8
7,0.13,0.1,0.02,0.02,17.45
8,0.14,0.08,0.3,0.18,4.78
9,0.21,0.06,0.02,0.09,6.97
10,0.19,0.11,0.03,0.1,9.76
11,0.5,0.08,0.03,0.13,20.15
12,0.42,0.08,0.5,0.52,4.36
13,1.25,0.08,0.03,0.28,35.23
14,0.1,0.08,0.04,0.6,4.62
15,0.54,0.43,0.02,0.3,1.18
16,0.13,0.14,0.42,0.25,4.6
17,0.76,0.35,0.01,0.54,6.78
18,0.92,0.09,0.04,0.17,90.88
19,7.35,9.73,94.2,0.19,6.48
20,0.12,0.09,0.02,1.18,215.85
21,0.4,0.41,0.1,0.02,TO
22,0.53,0.2,0.06,0.01,6.66
23,1.33,0.08,0.02,0.19,903.03
24,0.53,0.39,0.02,0.09,28.73
25,0.43,0.11,0.36,0.07,8.09
26,0.62,0.08,0.01,0.03,3.08
27,1.07,0.21,0.02,0.29,8.53
28,0.54,0.44,0.01,0.02,7.2
29,0.67,0.16,0.64,0.02,9.39
30,0.61,0.22,0.04,0.02,128.33
31,1.12,0.08,0.2,0.06,45.57
32,0.72,0.3,0.02,0.02,30.36
33,0.52,0.42,0.1,0.05,345.37
34,0.79,0.39,0.01,0.63,166.05
35,1.7,0.03,0.06,0.22,41.53
36,1.05,0.12,0.04,0.22,7.4
37,1.68,0.57,TO,0.13,1.42
38,0.92,0.36,0.04,0.47,6.74
39,1.15,0.63,0.07,0.27,459.2
40,1.64,0.36,0.05,0.24,28.53
41,0.95,0.64,0.63,0.06,9.91
42,0.25,0.4,0.02,0.29,55.54
43,0.84,0.25,0.01,0.2,296.5
44,1.05,0.43,0.02,0.94,48.1
45,3.34,1.57,TO,6.41,12.6
46,0.78,0.58,0.05,0.03,87.99
47,1.39,0.26,0.07,0.07,959.62
48,29.95,52.07,TO,0.98,0.15
49,0.89,0.28,0.03,0.39,17.64
50,1.72,0.61,0.33,9.11,8.9
51,1.37,0.38,0.05,0.58,31.32
52,1.22,0.14,0.07,0.08,16.05
53,1.67,0.45,0,0.05,10.75
54,1.99,0.53,13.54,0.07,11.04
55,1.34,0.49,0.01,0.18,23.46
56,1.21,0.52,0.28,0.35,10.74
57,1.08,0.49,0.06,0.89,14.25
58,3.41,0.72,677.36,4.88,12.11
59,15.98,3.51,0.31,0.85,0.17
60,1,0.41,0.03,1.94,TO
61,1.34,0.45,0.01,0.36,78.48
62,685.47,450.87,TO,1.05,18.67
63,1.15,0.41,0.04,0.29,277.25
64,0.24,0.55,0.14,0.03,716.15
65,1.57,1.65,TO,32.02,136.77
66,1.14,0.68,0,0.39,TO
67,4.84,0.07,0.01,0.48,24.51
68,3.67,0.46,0.05,0.17,106.98
69,1.06,1.49,30.91,14.87,18.51
70,1.88,0.51,0.03,0.08,4.63
71,1.59,0.95,0.04,0.4,25.37
72,20.82,6.21,0.32,1.13,58.78
73,1.05,0.58,0.07,0.08,TO
74,0.42,0.46,0.13,0.03,16.43
75,2.7,2.36,0.01,13.01,76.71
76,66.54,46.46,8.98,0.49,20.69
77,2.3,0.67,0.03,0.19,111.21
78,1.5,0.16,0.13,0.36,17.1
79,25.4,4.45,0.34,1.25,99.89
80,3.17,0.59,0.06,22.48,28.59
81,2.68,2.27,2.9,59.66,10.25
82,0.12,0.49,0.21,0.04,17.56
83,1.51,0.41,0.03,0.13,156.92
84,26.75,6.14,0.49,2.17,19.1
85,1.9,0.44,0.03,0.45,19.9
86,61.96,25.77,23.51,1.28,20.6
87,209.71,267.08,TO,0.69,263.62
88,65.15,74.08,2.01,0.33,82.51
89,3.12,0.63,0.01,18.03,18.62
90,7.18,1.88,1.06,1.44,153.61
91,2.03,1.92,0.43,45.2,20.65
92,4.22,0.66,0.02,1.49,0.26
93,1.88,0.84,0.09,0.76,TO
94,1.45,0.5,0.03,0.3,92.35
95,1.22,1.51,TO,93.95,31.5
96,33.01,8.17,0.45,1.64,23.61
97,3.67,0.67,0.07,0.09,27.39
98,0.4,0.37,0.1,0.06,25
99,1.7,0.78,0.08,0.57,23.83
100,3.88,0.49,0.07,16.5,171.68
101,1.42,1.11,120.97,34.72,TO
102,2.15,0.6,0.05,35.28,29.27
103,4.67,0.84,0.09,0.64,6.28
104,1.25,0.66,0.32,0.05,32.09
105,4.02,0.81,0.05,12.38,108.33
106,2.55,2.24,0.2,7.51,33.15
107,1.83,0.69,0.09,41.28,29.59
108,4.63,0.72,0.11,0.39,58.06
109,0.69,0.4,0.12,0.06,173.45
110,0.39,0.38,0.11,0.09,500.3
111,3.8,0.73,0.01,4.83,143.39
112,1.52,2.27,TO,96.96,31.76
113,1.71,0.52,0.09,0.39,34.89
114,3.64,0.68,0.16,0.46,0.21
115,79.35,35.36,26.18,0.41,0.2
116,1.54,0.71,0.03,22.4,33.89
117,88.22,206.18,5.91,5.54,32.53
118,1.45,2.72,TO,34.3,194.11
119,1.81,0.79,0.1,17.84,51.38
120,4.83,0.74,0.1,0.45,87.48
121,3.32,0.59,0.05,19.44,563.35
122,2.62,0.14,0.26,0.08,45.5
123,23.69,271.16,9.54,6.34,118.23
124,4.54,0.99,TO,185.15,45.25
125,0.19,0.68,0.16,0.3,244.66
126,97.43,169.93,18.43,0.47,4.5
127,299.03,334.31,TO,0.64,64.59
128,50.48,8.9,1.06,2.74,51.15
129,2.69,2.84,TO,16.14,152.17
130,0.44,0.39,0.07,0.08,75.83
131,6.29,0.57,0.04,0.91,274.77
132,2.23,2.46,TO,16.75,56.23
133,5.26,0.1,0.03,1.42,644.69
134,23.47,3.46,2.56,3.23,94.12
135,522.43,407.81,TO,2.05,53.79
136,3.84,3.12,TO,40.2,111.4
137,1.05,0.29,0.36,0.06,1.15
138,4.43,2.24,0.43,0.5,TO
139,318.87,624.15,7.25,1.15,165.72
140,1.96,3.37,TO,0.11,TO
141,5.11,1.24,0.16,0.15,201.8
142,4.32,1.56,0.22,136.15,170.36
143,6.66,1.25,0.33,0.55,65.82
144,1.5,1.04,0.47,0.15,63.22
