問題番号,asp2-fix-cadical-sinz,asp2-fix-2loop-cadical-sinz,asp2-fix-lowest-asymmetry2-cadical-sinz,asp2-fix-2opt3-cadical-sinz,asp2-fix-2loop-lowest-asymmetry2-cadical-sinz,asp2-fix-lowest-asymmetry2-2opt3-cadical-sinz,asp2-fix-2loop-2opt3-cadical-sinz,asp2-fix-2loop-lowest-asymmetry2-2opt3-cadical-sinz,VBS
1,0.05,0.02,0.03,0.04,0.03,0.03,0.03,0.03,0.02
2,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
3,0.07,0.03,0.04,0.07,0.01,0.04,0.04,0.01,0.01
4,0.0,0.17,0.0,0.01,0.26,0.01,0.18,0.28,0.0
5,0.02,0.0,0.04,0.02,0.03,0.04,0.0,0.03,0.0
6,0.01,0.0,0.06,0.02,0.0,0.03,0.01,0.0,0.0
7,0.03,0.03,0.01,0.04,0.02,0.03,0.03,0.02,0.01
8,0.33,5.98,0.01,0.33,2.38,0.0,6.48,2.52,0.0
9,0.02,0.02,0.05,0.03,0.11,0.04,0.02,0.11,0.02
10,0.01,0.03,0.22,0.01,0.01,0.01,0.03,0.02,0.01
11,0.09,0.0,0.02,0.07,0.02,0.03,0.01,0.01,0.0
12,0.02,0.04,0.17,0.02,0.06,0.19,0.04,0.06,0.02
13,0.05,0.04,0.03,0.07,0.06,0.04,0.04,0.06,0.03
14,0.04,0.03,0.04,0.03,0.04,0.03,0.02,0.02,0.02
15,0.04,0.02,0.0,0.05,0.02,0.02,0.02,0.02,0.0
16,0.07,0.02,0.13,0.07,0.01,0.14,0.02,0.01,0.01
17,0.08,0.02,0.1,0.08,0.02,0.11,0.02,0.03,0.02
18,0.03,0.01,0.02,0.05,0.04,0.04,0.02,0.03,0.01
19,0.09,0.09,0.09,0.09,0.08,0.1,0.09,0.08,0.08
20,0.02,0.01,0.04,0.02,0.06,0.04,0.01,0.07,0.01
21,0.23,0.07,0.02,0.22,0.03,0.03,0.08,0.03,0.02
22,0.05,0.05,0.02,0.05,0.02,0.02,0.06,0.02,0.02
23,0.1,0.02,0.02,0.04,0.11,0.01,0.02,0.04,0.01
24,0.06,0.03,0.1,0.05,0.02,0.1,0.02,0.02,0.02
25,0.04,10.66,1.01,0.05,118.17,1.18,11.57,123.88,0.04
